L1 Therapeutic Area,L2 Segment,L3 Market Driver Anchor,MeSH Descriptor UID,Synonyms
Cardiometabolic & Renal,CV & Renal,Atherosclerosis,D050197,
Cardiometabolic & Renal,CV & Renal,Atrial Fibrillation,D001281,AFib; AF
Cardiometabolic & Renal,CV & Renal,Chronic Kidney Disease,D051436,"CKD; Renal Insufficiency, Chronic"
Cardiometabolic & Renal,CV & Renal,Diabetic Nephropathy,D003928,Diabetic Kidney Disease; DKD
Cardiometabolic & Renal,CV & Renal,Heart Failure,D006333,Cardiac Failure; Congestive Heart Failure; CHF
Cardiometabolic & Renal,CV & Renal,Hypertension,D006973,High Blood Pressure
Cardiometabolic & Renal,CV & Renal,Myocardial Infarction,D009203,MI; Heart Attack
Cardiometabolic & Renal,Metabolic & Obesity,Metabolic Syndrome,D024821,Metabolic Syndrome X
Cardiometabolic & Renal,Metabolic & Obesity,NAFLD,D065626,Non-alcoholic Fatty Liver Disease; Fatty Liver Disease
Cardiometabolic & Renal,Metabolic & Obesity,NASH,D000071683,Non-alcoholic Steatohepatitis; MASH; Metabolic Steatohepatitis
Cardiometabolic & Renal,Metabolic & Obesity,Obesity,D009765,
Cardiometabolic & Renal,Metabolic & Obesity,Type 1 Diabetes,D003922,"T1D; Diabetes Mellitus, Type 1; Type 1 Diabetes Mellitus"
Cardiometabolic & Renal,Metabolic & Obesity,Type 2 Diabetes,D003924,"T2D; Diabetes Mellitus, Type 2; Type 2 Diabetes Mellitus"
Immunology & Inflammation,Barrier Inflammation,Atopic Dermatitis,D003876,"Dermatitis, Atopic; Eczema"
Immunology & Inflammation,Barrier Inflammation,Crohn Disease,D003424,Crohn's Disease; Regional Enteritis
Immunology & Inflammation,Barrier Inflammation,Hidradenitis Suppurativa,D000080909,HS
Immunology & Inflammation,Barrier Inflammation,Inflammatory Bowel Disease,D015212,IBD; Inflammatory Bowel Diseases
Immunology & Inflammation,Barrier Inflammation,Psoriasis,D011565,
Immunology & Inflammation,Barrier Inflammation,Ulcerative Colitis,D003093,"Colitis, Ulcerative; UC"
Immunology & Inflammation,Rheumatology,Ankylosing Spondylitis,D013167,"Spondylitis, Ankylosing; AS"
Immunology & Inflammation,Rheumatology,Psoriatic Arthritis,D015535,"Arthritis, Psoriatic; PsA"
Immunology & Inflammation,Rheumatology,Rheumatoid Arthritis,D001172,"RA; Arthritis, Rheumatoid"
Immunology & Inflammation,Rheumatology,Sjogren Syndrome,D012859,Sjogren's Syndrome
