issuer_id,primary_cik
ISS_0001813814,CIK_0001813814
ISS_0001774857,CIK_0001774857
ISS_0000001800,CIK_0000001800
ISS_0001551152,CIK_0001551152
ISS_0001703057,CIK_0001703057
ISS_0001956827,CIK_0001956827
ISS_0001651625,CIK_0001651625
ISS_0001070494,CIK_0001070494
ISS_0001557746,CIK_0001557746
ISS_0001771910,CIK_0001771910
ISS_0001439222,CIK_0001439222
ISS_0001517022,CIK_0001517022
ISS_0001520262,CIK_0001520262
ISS_0001178670,CIK_0001178670
ISS_0001326190,CIK_0001326190
ISS_0001999480,CIK_0001999480
ISS_0001847367,CIK_0001847367
ISS_0001178879,CIK_0001178879
ISS_0001658551,CIK_0001658551
ISS_0001370053,CIK_0001370053
ISS_0001528115,CIK_0001528115
ISS_0001492422,CIK_0001492422
ISS_0001447028,CIK_0001447028
ISS_0001768224,CIK_0001768224
ISS_0001724521,CIK_0001724521
ISS_0001787306,CIK_0001787306
ISS_0001437402,CIK_0001437402
ISS_0001868279,CIK_0001868279
ISS_0000879407,CIK_0000879407
ISS_0001671858,CIK_0001671858
ISS_0001655759,CIK_0001655759
ISS_0001612042,CIK_0001612042
ISS_0001454789,CIK_0001454789
ISS_0001840904,CIK_0001840904
ISS_0001593899,CIK_0001593899
ISS_0001600620,CIK_0001600620
ISS_0001599901,CIK_0001599901
ISS_0001579428,CIK_0001579428
ISS_0001651308,CIK_0001651308
ISS_0002023658,CIK_0002023658
ISS_0001761612,CIK_0001761612
ISS_0001709941,CIK_0001709941
ISS_0001935979,CIK_0001935979
ISS_0001048477,CIK_0001048477
ISS_0001869105,CIK_0001869105
ISS_0001743881,CIK_0001743881
ISS_0000014272,CIK_0000014272
ISS_0001369568,CIK_0001369568
ISS_0001847903,CIK_0001847903
ISS_0001622229,CIK_0001622229
ISS_0001816590,CIK_0001816590
ISS_0001855175,CIK_0001855175
ISS_0001626971,CIK_0001626971
ISS_0001658247,CIK_0001658247
ISS_0001061983,CIK_0001061983
ISS_0001501989,CIK_0001501989
ISS_0001845337,CIK_0001845337
ISS_0001807120,CIK_0001807120
ISS_0001690585,CIK_0001690585
ISS_0001816736,CIK_0001816736
ISS_0001029142,CIK_0001029142
ISS_0001818794,CIK_0001818794
ISS_0001710072,CIK_0001710072
ISS_0000059478,CIK_0000059478
ISS_0001367644,CIK_0001367644
ISS_0001177648,CIK_0001177648
ISS_0001672619,CIK_0001672619
ISS_0001689375,CIK_0001689375
ISS_0001761918,CIK_0001761918
ISS_0001822462,CIK_0001822462
ISS_0001680581,CIK_0001680581
ISS_0001421876,CIK_0001421876
ISS_0001434265,CIK_0001434265
ISS_0000886744,CIK_0000886744
ISS_0001855129,CIK_0001855129
ISS_0001728117,CIK_0001728117
ISS_0001438569,CIK_0001438569
ISS_0001676725,CIK_0001676725
ISS_0001790340,CIK_0001790340
ISS_0001472012,CIK_0001472012
ISS_0001506184,CIK_0001506184
ISS_0001104506,CIK_0001104506
ISS_0000874015,CIK_0000874015
ISS_0001446847,CIK_0001446847
ISS_0001817713,CIK_0001817713
ISS_0000200406,CIK_0000200406
ISS_0001954488,CIK_0001954488
ISS_0001348911,CIK_0001348911
ISS_0001664710,CIK_0001664710
ISS_0001422143,CIK_0001422143
ISS_0001374690,CIK_0001374690
ISS_0001801198,CIK_0001801198
ISS_0001806952,CIK_0001806952
ISS_0001157601,CIK_0001157601
ISS_0000899460,CIK_0000899460
ISS_0001823239,CIK_0001823239
ISS_0001776111,CIK_0001776111
ISS_0000310158,CIK_0000310158
ISS_0001933414,CIK_0001933414
ISS_0001759425,CIK_0001759425
ISS_0001404644,CIK_0001404644
ISS_0001936258,CIK_0001936258
ISS_0001778016,CIK_0001778016
ISS_0001549595,CIK_0001549595
ISS_0001861560,CIK_0001861560
ISS_0001811063,CIK_0001811063
ISS_0001750284,CIK_0001750284
ISS_0000944809,CIK_0000944809
ISS_0001796280,CIK_0001796280
ISS_0000907654,CIK_0000907654
ISS_0001583648,CIK_0001583648
ISS_0001835597,CIK_0001835597
ISS_0000728387,CIK_0000728387
ISS_0000078003,CIK_0000078003
ISS_0001830487,CIK_0001830487
ISS_0001783183,CIK_0001783183
ISS_0001689548,CIK_0001689548
ISS_0001356090,CIK_0001356090
ISS_0001377121,CIK_0001377121
ISS_0001559053,CIK_0001559053
ISS_0001070081,CIK_0001070081
ISS_0001782223,CIK_0001782223
ISS_0002012593,CIK_0002012593
ISS_0001673772,CIK_0001673772
ISS_0000872589,CIK_0000872589
ISS_0001509261,CIK_0001509261
ISS_0001649904,CIK_0001649904
ISS_0001034842,CIK_0001034842
ISS_0001281895,CIK_0001281895
ISS_0001635088,CIK_0001635088
ISS_0001400118,CIK_0001400118
ISS_0000873303,CIK_0000873303
ISS_0001160308,CIK_0001160308
ISS_0001984086,CIK_0001984086
ISS_0001479615,CIK_0001479615
ISS_0002036042,CIK_0002036042
