issuer_id,universe_id,start_date
ISS_0000001800,XLV,1/17/2026
ISS_0000010456,XLV,1/17/2026
ISS_0000010795,XLV,1/17/2026
ISS_0000014272,XLV,1/17/2026
ISS_0000031791,XLV,1/17/2026
ISS_0000049071,XLV,1/17/2026
ISS_0000059478,XLV,1/17/2026
ISS_0000064803,XLV,1/17/2026
ISS_0000078003,XLV,1/17/2026
ISS_0000097745,XLV,1/17/2026
ISS_0000105770,XLV,1/17/2026
ISS_0000200406,XLV,1/17/2026
ISS_0000310158,XLV,1/17/2026
ISS_0000310764,XLV,1/17/2026
ISS_0000313616,XLV,1/17/2026
ISS_0000318154,IBB,1/17/2026
ISS_0000318154,XBI,1/17/2026
ISS_0000318154,XLV,1/17/2026
ISS_0000352915,XLV,1/17/2026
ISS_0000711404,XLV,1/17/2026
ISS_0000721371,XLV,1/17/2026
ISS_0000728387,IBB,1/17/2026
ISS_0000730272,IBB,1/17/2026
ISS_0000731766,XLV,1/17/2026
ISS_0000744218,XBI,1/17/2026
ISS_0000842023,IBB,1/17/2026
ISS_0000842023,XLV,1/17/2026
ISS_0000859737,XLV,1/17/2026
ISS_0000860730,XLV,1/17/2026
ISS_0000872589,IBB,1/17/2026
ISS_0000872589,XBI,1/17/2026
ISS_0000872589,XLV,1/17/2026
ISS_0000873303,IBB,1/17/2026
ISS_0000873303,XBI,1/17/2026
ISS_0000874015,IBB,1/17/2026
ISS_0000874015,XBI,1/17/2026
ISS_0000874716,XLV,1/17/2026
ISS_0000875045,IBB,1/17/2026
ISS_0000875045,XBI,1/17/2026
ISS_0000875045,XLV,1/17/2026
ISS_0000875320,IBB,1/17/2026
ISS_0000875320,XBI,1/17/2026
ISS_0000875320,XLV,1/17/2026
ISS_0000876343,IBB,1/17/2026
ISS_0000879169,IBB,1/17/2026
ISS_0000879169,XBI,1/17/2026
ISS_0000879169,XLV,1/17/2026
ISS_0000879407,IBB,1/17/2026
ISS_0000879407,XBI,1/17/2026
ISS_0000882095,IBB,1/17/2026
ISS_0000882095,XBI,1/17/2026
ISS_0000882095,XLV,1/17/2026
ISS_0000882796,IBB,1/17/2026
ISS_0000882796,XBI,1/17/2026
ISS_0000885725,XLV,1/17/2026
ISS_0000886744,IBB,1/17/2026
ISS_0000886744,XBI,1/17/2026
ISS_0000887359,IBB,1/17/2026
ISS_0000887359,XBI,1/17/2026
ISS_0000899460,IBB,1/17/2026
ISS_0000899460,XBI,1/17/2026
ISS_0000899923,IBB,1/17/2026
ISS_0000899923,XBI,1/17/2026
ISS_0000907654,IBB,1/17/2026
ISS_0000907654,XBI,1/17/2026
ISS_0000914475,IBB,1/17/2026
ISS_0000914475,XBI,1/17/2026
ISS_0000920148,XLV,1/17/2026
ISS_0000927066,XLV,1/17/2026
ISS_0000927653,XLV,1/17/2026
ISS_0000939767,IBB,1/17/2026
ISS_0000939767,XBI,1/17/2026
ISS_0000943819,XLV,1/17/2026
ISS_0000944809,IBB,1/17/2026
ISS_0001000228,XLV,1/17/2026
ISS_0001000694,IBB,1/17/2026
ISS_0001000694,XBI,1/17/2026
ISS_0001000697,XLV,1/17/2026
ISS_0001001316,XBI,1/17/2026
ISS_0001022079,XLV,1/17/2026
ISS_0001029142,IBB,1/17/2026
ISS_0001029142,XBI,1/17/2026
ISS_0001034842,IBB,1/17/2026
ISS_0001034842,XBI,1/17/2026
ISS_0001035267,XLV,1/17/2026
ISS_0001037646,XLV,1/17/2026
ISS_0001048477,IBB,1/17/2026
ISS_0001048477,XBI,1/17/2026
ISS_0001061983,IBB,1/17/2026
ISS_0001061983,XBI,1/17/2026
ISS_0001070081,IBB,1/17/2026
ISS_0001070081,XBI,1/17/2026
ISS_0001070494,IBB,1/17/2026
ISS_0001070494,XBI,1/17/2026
ISS_0001071739,XLV,1/17/2026
ISS_0001082554,IBB,1/17/2026
ISS_0001082554,XBI,1/17/2026
ISS_0001090872,XLV,1/17/2026
ISS_0001093557,XLV,1/17/2026
ISS_0001097149,XLV,1/17/2026
ISS_0001099800,XLV,1/17/2026
ISS_0001100682,IBB,1/17/2026
ISS_0001100682,XLV,1/17/2026
ISS_0001104506,IBB,1/17/2026
ISS_0001104506,XBI,1/17/2026
ISS_0001109354,IBB,1/17/2026
ISS_0001110803,IBB,1/17/2026
ISS_0001124140,XBI,1/17/2026
ISS_0001136869,XLV,1/17/2026
ISS_0001140859,XLV,1/17/2026
ISS_0001145197,XLV,1/17/2026
ISS_0001156039,XLV,1/17/2026
ISS_0001157601,IBB,1/17/2026
ISS_0001157601,XBI,1/17/2026
ISS_0001159036,IBB,1/17/2026
ISS_0001159036,XBI,1/17/2026
ISS_0001160308,IBB,1/17/2026
ISS_0001160308,XBI,1/17/2026
ISS_0001162194,IBB,1/17/2026
ISS_0001177648,IBB,1/17/2026
ISS_0001178670,IBB,1/17/2026
ISS_0001178670,XBI,1/17/2026
ISS_0001178879,IBB,1/17/2026
ISS_0001178879,XBI,1/17/2026
ISS_0001179929,XLV,1/17/2026
ISS_0001200375,IBB,1/17/2026
ISS_0001217234,IBB,1/17/2026
ISS_0001217234,XBI,1/17/2026
ISS_0001281895,IBB,1/17/2026
ISS_0001299130,IBB,1/17/2026
ISS_0001314052,IBB,1/17/2026
ISS_0001314052,XBI,1/17/2026
ISS_0001326110,IBB,1/17/2026
ISS_0001326110,XBI,1/17/2026
ISS_0001326190,IBB,1/17/2026
ISS_0001326190,XBI,1/17/2026
ISS_0001326732,IBB,1/17/2026
ISS_0001326732,XBI,1/17/2026
ISS_0001345099,IBB,1/17/2026
ISS_0001347178,IBB,1/17/2026
ISS_0001348911,IBB,1/17/2026
ISS_0001348911,XBI,1/17/2026
ISS_0001356090,IBB,1/17/2026
ISS_0001356090,XBI,1/17/2026
ISS_0001367644,IBB,1/17/2026
ISS_0001367644,XBI,1/17/2026
ISS_0001368514,IBB,1/17/2026
ISS_0001368514,XBI,1/17/2026
